==182783== NVPROF is profiling process 182783, command: ./bfs_adapt ../../data/bfs/graph65536.txt
==182783== Profiling application: ./bfs_adapt ../../data/bfs/graph65536.txt
==182783== Warning: 2 records have invalid timestamps due to insufficient device buffer space. You can configure the buffer space using the option --device-buffer-size.
==182783== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*           Device   Context    Stream        Unified Memory  Virtual Address  Name
1.28220s  1.6320us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0200000  [Unified Memory Memcpy HtoD]
1.28220s  6.4640us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0201000  [Unified Memory Memcpy HtoD]
1.28221s  29.184us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc0380000  [Unified Memory GPU page faults]
1.28223s  1.6000us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0380000  [Unified Memory Memcpy HtoD]
1.28223s  6.5280us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc0381000  [Unified Memory Memcpy HtoD]
1.28224s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0382000  [Unified Memory CPU page faults]
1.28224s  60.192us                    -               -         -         -         -     TITAN Xp (0)         -         -                     1   0x7f8cc03a0000  [Unified Memory GPU page faults]
1.28226s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0381000  [Unified Memory Memcpy DtoH]
1.28229s  7.2960us                    -               -         -         -         -     TITAN Xp (0)         -         -           64.000000KB   0x7f8cc0390000  [Unified Memory Memcpy HtoD]
1.28229s     992ns                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc03a0000  [Unified Memory Memcpy HtoD]
1.28229s  6.5280us                    -               -         -         -         -     TITAN Xp (0)         -         -           60.000000KB   0x7f8cc03a1000  [Unified Memory Memcpy HtoD]
1.28231s  1.0880us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0382000  [Unified Memory Memcpy DtoH]
1.28241s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0383000  [Unified Memory CPU page faults]
1.28248s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0383000  [Unified Memory Memcpy DtoH]
1.28258s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0384000  [Unified Memory CPU page faults]
1.28264s  1.0880us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0384000  [Unified Memory Memcpy DtoH]
1.28274s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0385000  [Unified Memory CPU page faults]
1.28281s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0385000  [Unified Memory Memcpy DtoH]
1.28291s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0386000  [Unified Memory CPU page faults]
1.28297s  1.0240us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0386000  [Unified Memory Memcpy DtoH]
1.28320s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0387000  [Unified Memory CPU page faults]
1.28329s  1.0880us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0387000  [Unified Memory Memcpy DtoH]
1.28388s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0388000  [Unified Memory CPU page faults]
1.28397s  1.0880us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0388000  [Unified Memory Memcpy DtoH]
1.28455s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0389000  [Unified Memory CPU page faults]
1.28463s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0389000  [Unified Memory Memcpy DtoH]
1.28525s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc038a000  [Unified Memory CPU page faults]
1.28542s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc038a000  [Unified Memory Memcpy DtoH]
1.28593s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc038b000  [Unified Memory CPU page faults]
1.28606s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc038b000  [Unified Memory Memcpy DtoH]
1.28637s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc038c000  [Unified Memory CPU page faults]
1.28643s  1.0880us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc038c000  [Unified Memory Memcpy DtoH]
1.28702s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc038d000  [Unified Memory CPU page faults]
1.28717s  1.0880us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc038d000  [Unified Memory Memcpy DtoH]
1.28772s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc038e000  [Unified Memory CPU page faults]
1.28786s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc038e000  [Unified Memory Memcpy DtoH]
1.28808s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc038f000  [Unified Memory CPU page faults]
1.28818s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc038f000  [Unified Memory Memcpy DtoH]
1.28877s         -                    -               -         -         -         -                -         -         -           PC 0x403991   0x7f8cc0390000  [Unified Memory CPU page faults]
1.28912s  1.0560us                    -               -         -         -         -     TITAN Xp (0)         -         -            4.000000KB   0x7f8cc0390000  [Unified Memory Memcpy DtoH]
1.28912s  26.624us                    -               -         -         -         -     TITAN Xp (0)         -         -          188.000000KB   0x7f8cc0391000  [Unified Memory Memcpy DtoH]

Regs: Number of registers used per CUDA thread. This number includes registers used internally by the CUDA driver and/or tools and can be more than what the compiler shows.
SSMem: Static shared memory allocated per CUDA block.
DSMem: Dynamic shared memory allocated per CUDA block.
